observation_date,LAUST400000000000003A,LAUST410000000000003A,LAUST420000000000003A,LAUST440000000000003A,LAUST450000000000003A,LAUST460000000000003A,LAUST470000000000003A,LAUST480000000000003A,LAUST490000000000003A,LAUST500000000000003A,LAUST510000000000003A,LAUST530000000000003A
1976-01-01,5.6,9.3,8.0,8.0,7.0,3.4,6.1,5.8,5.6,8.2,5.9,8.8
1977-01-01,4.8,7.4,7.7,8.1,6.8,3.4,6.2,5.4,5.2,7.0,5.5,8.4
1978-01-01,3.3,6.1,7.0,6.3,5.6,3.2,5.8,4.9,3.9,5.5,5.2,6.8
1979-01-01,3.1,6.8,7.0,6.3,5.0,3.4,5.9,4.4,4.4,5.0,4.7,6.8
1980-01-01,4.2,8.4,8.2,7.2,6.7,4.7,7.4,5.3,6.3,6.1,5.2,8.0
1981-01-01,3.6,9.7,8.3,7.6,8.2,4.8,8.9,5.3,6.7,5.7,5.9,9.3
1982-01-01,6.1,11.3,10.9,9.8,10.8,5.4,11.8,6.9,8.1,7.0,7.3,11.7
1983-01-01,8.1,10.8,11.0,8.4,9.9,5.2,11.5,8.1,9.0,6.5,6.3,11.1
1984-01-01,6.8,9.3,8.9,5.4,7.0,4.3,8.7,6.1,6.6,4.9,5.1,9.3
1985-01-01,7.1,8.6,8.0,4.7,6.8,4.9,7.9,7.0,6.1,4.6,5.3,8.3
1986-01-01,8.3,8.0,7.0,4.1,6.4,4.6,7.9,8.8,6.1,4.2,4.9,8.1
1987-01-01,7.2,6.1,5.8,3.7,5.5,4.3,6.6,8.5,6.2,3.6,4.2,7.3
1988-01-01,6.4,5.7,5.2,3.0,4.6,4.2,5.8,7.4,4.9,3.0,3.9,6.3
1989-01-01,5.7,5.4,4.9,3.9,4.6,3.9,5.1,6.7,4.6,3.5,3.9,5.9
1990-01-01,5.4,5.4,5.5,6.2,4.9,3.6,5.3,6.4,4.4,4.8,4.4,5.1
1991-01-01,6.0,6.2,6.9,8.3,6.1,3.5,6.7,6.9,4.7,6.3,5.8,6.1
1992-01-01,5.9,7.3,7.4,9.0,6.7,3.4,6.5,7.7,4.9,6.0,6.0,7.2
1993-01-01,5.6,7.0,6.8,7.7,7.3,3.5,5.8,7.2,4.0,5.0,5.1,7.2
1994-01-01,5.3,5.3,6.3,6.7,6.2,3.3,4.8,6.6,3.7,4.4,4.8,6.4
1995-01-01,4.4,4.8,5.9,6.3,5.1,3.2,5.1,6.1,3.4,4.2,4.4,6.2
1996-01-01,4.0,5.6,5.5,5.2,5.7,3.3,5.2,5.8,3.4,4.2,4.2,5.9
1997-01-01,4.0,5.5,5.1,5.3,4.5,2.9,5.2,5.4,3.2,3.9,3.6,4.9
1998-01-01,4.1,5.6,4.7,4.6,3.6,2.9,4.3,5.0,3.6,3.4,2.8,4.8
1999-01-01,3.5,5.5,4.5,4.2,4.2,2.7,4.0,4.7,3.5,3.1,2.7,4.8
2000-01-01,3.0,5.2,4.2,4.0,3.7,2.5,3.8,4.4,3.3,2.8,2.3,5.1
2001-01-01,3.6,6.4,4.8,4.5,5.2,3.0,4.6,5.0,4.4,3.2,3.2,6.1
2002-01-01,4.6,7.5,5.6,5.1,6.1,3.2,5.2,6.4,5.7,3.9,4.2,7.2
2003-01-01,5.4,8.0,5.7,5.5,6.7,3.5,5.5,6.8,5.6,4.3,4.1,7.3
2004-01-01,4.7,7.4,5.4,5.3,6.9,3.6,5.3,6.0,5.0,3.6,3.7,6.3
2005-01-01,4.3,6.2,5.0,5.1,6.8,3.5,5.5,5.5,4.0,3.5,3.5,5.6
2006-01-01,3.9,5.4,4.7,5.2,6.3,3.0,5.2,5.0,2.8,3.7,3.1,5.0
2007-01-01,4.0,5.2,4.6,5.1,5.6,2.8,4.6,4.4,2.6,3.9,3.1,4.6
2008-01-01,3.6,6.3,5.4,7.6,6.9,3.1,6.5,4.9,3.3,4.5,4.1,5.2
2009-01-01,6.5,10.6,8.0,11.2,11.0,4.6,10.4,7.6,7.6,6.5,6.8,9.1
2010-01-01,6.5,10.6,8.2,11.6,11.1,4.9,9.8,8.3,8.3,6.2,6.8,10.0
2011-01-01,5.6,9.5,7.7,11.1,10.3,4.6,9.0,8.0,7.2,5.4,6.3,9.4
2012-01-01,5.1,8.7,7.6,10.3,9.0,4.0,7.9,6.7,4.8,4.8,5.8,8.5
2013-01-01,5.1,7.8,7.1,9.5,7.4,3.7,7.7,6.3,4.2,4.4,5.5,6.7
2014-01-01,4.3,6.7,6.0,7.8,6.3,3.4,6.5,5.2,3.6,3.9,5.1,5.9
2015-01-01,4.3,5.5,5.4,6.0,5.9,3.0,5.5,4.5,3.5,3.5,4.4,5.5
2016-01-01,4.6,4.8,5.3,5.2,4.9,3.0,4.7,4.6,3.3,3.1,4.0,5.2
2017-01-01,4.0,4.1,5.0,4.5,4.2,3.0,3.7,4.4,3.1,2.9,3.6,4.7
2018-01-01,3.3,4.0,4.4,4.0,3.4,2.8,3.5,3.9,2.9,2.5,3.0,4.4
2019-01-01,3.1,3.7,4.3,3.5,2.8,2.7,3.3,3.5,2.5,2.1,2.8,4.2
2020-01-01,6.3,7.6,8.8,9.2,6.0,4.1,7.4,7.7,4.8,5.6,6.5,8.7
2021-01-01,4.0,5.2,5.9,5.6,3.9,2.5,4.5,5.6,2.8,3.6,3.8,5.2
2022-01-01,3.0,4.0,4.1,3.2,3.2,1.9,3.4,3.9,2.4,2.4,2.7,4.1
2023-01-01,3.2,3.8,3.7,3.0,3.0,1.8,3.2,4.0,2.7,1.9,2.7,4.2
2024-01-01,3.3,4.2,3.6,4.3,4.1,1.8,3.4,4.1,3.2,2.3,2.9,4.5
