observation_date,LAUST540000000000003A,LAUST550000000000003A,LAUST560000000000003A
1976-01-01,7.2,5.6,3.9
1977-01-01,6.9,5.1,3.3
1978-01-01,6.4,4.9,2.9
1979-01-01,7.4,4.5,2.6
1980-01-01,10.1,7.3,3.9
1981-01-01,10.6,7.9,4.2
1982-01-01,14.0,10.4,5.9
1983-01-01,17.1,9.9,7.8
1984-01-01,14.1,7.3,6.3
1985-01-01,13.2,7.2,7.0
1986-01-01,12.0,6.8,8.5
1987-01-01,10.9,5.7,8.0
1988-01-01,9.8,4.4,6.4
1989-01-01,8.7,4.3,6.0
1990-01-01,8.7,4.4,5.1
1991-01-01,10.7,5.4,5.0
1992-01-01,11.2,5.1,5.5
1993-01-01,10.2,4.4,5.3
1994-01-01,8.8,4.3,4.9
1995-01-01,8.0,3.7,4.8
1996-01-01,7.7,3.6,5.0
1997-01-01,7.0,3.5,4.8
1998-01-01,6.6,3.3,4.8
1999-01-01,6.5,3.1,4.7
2000-01-01,5.6,3.4,3.8
2001-01-01,5.3,4.4,3.9
2002-01-01,6.1,5.3,4.1
2003-01-01,6.1,5.6,4.3
2004-01-01,5.4,5.0,3.8
2005-01-01,5.1,4.7,3.6
2006-01-01,4.8,4.7,3.1
2007-01-01,4.5,4.8,2.7
2008-01-01,4.5,4.9,3.0
2009-01-01,8.0,8.8,6.3
2010-01-01,8.4,8.4,6.9
2011-01-01,7.7,7.5,6.1
2012-01-01,7.2,6.9,5.4
2013-01-01,6.7,6.7,4.7
2014-01-01,6.5,5.3,4.4
2015-01-01,6.5,4.4,4.2
2016-01-01,6.1,3.9,5.3
2017-01-01,5.2,3.3,4.3
2018-01-01,5.1,3.0,4.1
2019-01-01,4.9,3.2,3.7
2020-01-01,8.3,6.4,5.9
2021-01-01,5.1,3.8,4.5
2022-01-01,3.9,2.8,3.4
2023-01-01,3.9,2.8,2.9
2024-01-01,4.1,3.0,3.2
